accountsservice 22.08.8-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
akm 2.9.3-1
alacritty 0.10.1-1
alsa-firmware 1.2.4-2
alsa-plugins 1:1.2.6-3
alsa-utils 1.2.6-1
amd-ucode 20220309.cd01f85-1
ani-cli 1.9-1
apache 2.4.52-1
ark 21.12.3-1
audiocd-kio 21.12.3-1
autoconf 2.71-1
automake 1.16.5-1
b43-fwcutter 019-3
baobab 41.0-1
base 2-2
bash-completion 2.11-2
bc 1.07.1-4
betterdiscord-installer 1.1.1-2
betterdiscordctl 2.0.1-1
bind 9.18.0-1
binutils 2.38-3
bison 3.8.2-3
blueman 2.2.4-1
bpytop 1.0.68-1
brave-bin 1:1.36.112-1
breeze-gtk 5.24.3-1
btrfs-progs 5.16.2-1
cantarell-fonts 1:0.303.1-1
chromium 99.0.4844.74-1
clang 13.0.1-2
cmatrix 2.0-2
crda 4.14-4
cryptsetup 2.4.3-2
device-mapper 2.03.15-1
dhclient 4.4.3-1
dialog 1:1.3_20220117-1
diffutils 3.8-1
discord 0.0.17-1
dmenu-bluetooth r31.c1a5c7b-1
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-13
dnsmasq 2.86-1
docker 1:20.10.13-1
dolphin 21.12.3-1
dosfstools 4.2-2
downgrade 11.1.0-1
dragon 21.12.3-1
duf 0.8.1-1
e2fsprogs 1.46.5-3
ed 1.18-1
efibootmgr 17-2
efitools 1.9.2-4
elisa 21.12.3-1
endeavouros-keyring 1-5
endeavouros-mirrorlist 4.4.2-1
endeavouros-theming 7.0-2
eos-apps-info 1.2.5-1
eos-hooks 1.4.20-1
eos-log-tool 1.4.13-1.1
eos-rankmirrors 2.2.5-1
eos-update-notifier 1.15.1-1
ethtool 1:5.16-1
exfatprogs 1.1.3-1
f2fs-tools 1.14.0-3
fakeroot 1.28-1
feh 3.8-2
ffmpegthumbnailer 2.2.2-4
file 5.41-1
findutils 4.9.0-1
firefox 98.0.1-1
